Text,Ground truth,llama,llama diff,gemini-pro,gemini-pro diff,gpt-4o-mini,gpt-4o-mini diff,o1-mini,o1-mini diff
diva16.txt,45.78,71.0,25.22,62.59,16.81,57.86,12.08,54.0,8.22
diva17.txt,62.79,53.81,8.98,37.8,24.99,35.19,27.60,71.0,8.21
diva18.txt,44.48,39.06,5.42,25.36,19.12,34.85,9.63,61.31,16.83
diva19.txt,51.95,56.77,4.82,71.51,19.56,54.82,2.87,59.0,7.05
diva2.txt,59.75,41.63,18.12,90.71,30.96,51.72,8.03,65.4,5.65
diva20.txt,50.67,43.222,7.45,31.67,19.00,252.29,201.62,56.0,5.33
diva21.txt,50.67,46.0,4.67,69.1,18.43,46.41,4.26,54.0,3.33
diva22.txt,67.82,30.0,37.82,28.19,39.63,47.25,20.57,80.0,12.18
diva23.txt,48.67,28.0,20.67,75.0,26.33,35.21,13.46,58.0,9.33
diva24.txt,53.7,46.8,6.90,87.67,33.97,38.66,15.04,59.0,5.30
diva25.txt,49.73,36.31,13.42,67.71,17.98,33.74,15.99,52.0,2.27
diva26.txt,47.73,40.24,7.49,17.93,29.80,31.67,16.06,51.0,3.27
diva27.txt,34.65,41.19,6.54,71.88,37.23,36.04,1.39,43.0,8.35
diva28.txt,36.47,36.9,0.43,15.43,21.04,45.6,9.13,43.0,6.53
diva29.txt,41.67,35.0,6.67,71.46,29.79,30.1,11.57,48.0,6.33
diva3.txt,58.33,31.67,26.66,61.77,3.44,36.56,21.77,61.7,3.37
diva30.txt,45.83,45.0,0.83,64.19,18.36,46.0,0.17,51.0,5.17
diva31.txt,41.9,32.7,9.20,78.14,36.24,38.11,3.79,41.0,0.90
diva32.txt,57.1,18.18,38.92,18.54,38.56,43.77,13.33,61.0,3.90
diva33.txt,36.09,42.0,5.91,59.0,22.91,44.7,8.61,43.0,6.91
diva34.txt,37.39,49.37,11.98,96.67,59.28,35.0,2.39,48.0,10.61
diva35.txt,38.64,,,85.63,46.99,24.03,14.61,43.0,4.36
diva36.txt,44.08,41.64,2.44,85.83,41.75,45.0,0.92,56.7,12.62
diva37.txt,39.2,29.98,9.22,74.509,35.31,27.8,11.40,41.0,1.80
diva38.txt,43.47,51.41,7.94,69.09,25.62,40.0,3.47,55.0,11.53
diva39.txt,37.44,40.17,2.73,55.88,18.44,43.26,5.82,47.0,9.56
diva4.txt,54.5,40.82,13.68,78.31,23.81,46.58,7.92,59.2,4.70
diva40.txt,41.83,56.65,14.82,51.11,9.28,33.67,8.16,45.0,3.17
diva41.txt,35.07,47.0,11.93,80.08,45.01,35.37,0.30,38.0,2.93
diva42.txt,51.35,38.31,13.04,77.4,26.05,46.0,5.35,55.0,3.65
diva43.txt,53.3,,,37.5,15.80,43.5,9.80,61.0,7.70
diva44.txt,51.58,41.0,10.58,73.63,22.05,45.2,6.38,57.7,6.12
diva45.txt,37.22,44.72,7.50,54.46,17.24,44.73,7.51,51.4,14.18
diva46.txt,52.5,49.0,3.50,75.51,23.01,36.66,15.84,57.0,4.50
diva47.txt,54.71,35.52,19.19,64.66,9.95,51.02,3.69,61.0,6.29
diva48.txt,45.53,38.3,7.23,71.22,25.69,37.0,8.53,50.4,4.87
diva49.txt,37.22,33.39,3.83,93.68,56.46,24.71,12.51,42.0,4.78
diva5.txt,49.48,49.22,0.26,75.54,26.06,51.03,1.55,60.6,11.12
diva50.txt,53.33,43.33,10.00,20.83,32.50,42.0,11.33,58.0,4.67
diva51.txt,52.0,37.0,15.00,55.57,3.57,39.34,12.66,59.0,7.00
diva52.txt,48.33,53.333,5.00,77.6137,29.28,47.15,1.18,58.0,9.67
diva53.txt,54.71,21.67,33.04,48.46,6.25,55.1,0.39,60.0,5.29
diva54.txt,34.3,,,70.3,36.00,30.2,4.10,39.0,4.70
diva55.txt,57.6,19.33,38.27,63.27,5.67,36.35,21.25,64.0,6.40
diva56.txt,41.14,31.79,9.35,85.43,44.29,35.46,5.68,45.0,3.86
diva57.txt,52.08,15.37,36.71,51.26,0.82,30.9,21.18,59.0,6.92
diva58.txt,47.62,38.49,9.13,88.48,40.86,40.01,7.61,56.0,8.38
diva59.txt,59.48,134.68,75.20,76.5,17.02,38.08,21.40,65.0,5.52
diva6.txt,53.93,38.917,15.01,23.75,30.18,40.05,13.88,64.0,10.07
diva60.txt,44.12,50.33,6.21,77.19,33.07,40.2,3.92,65.3,21.18
diva61.txt,48.32,47.76,0.56,64.28,15.96,40.0,8.32,54.0,5.68
diva62.txt,49.74,38.58,11.16,8.83,40.91,40.0,9.74,52.0,2.26
diva63.txt,59.92,59.42,0.50,76.5,16.58,49.03,10.89,64.0,4.08
diva64.txt,42.82,47.08,4.26,65.0,22.18,45.53,2.71,47.0,4.18
diva65.txt,45.43,34.0,11.43,85.33,39.90,29.9,15.53,46.0,0.57
diva66.txt,55.26,47.92,7.34,75.4,20.14,36.38,18.88,61.6,6.34
diva67.txt,36.78,51.33,14.55,49.0,12.22,35.0,1.78,46.0,9.22
diva68.txt,41.67,50.0,8.33,51.85,10.18,46.0,4.33,50.0,8.33
diva69.txt,44.36,27.0,17.36,67.33,22.97,29.0,15.36,53.0,8.64
diva7.txt,41.93,41.17,0.76,65.67,23.74,29.0,12.93,43.0,1.07
diva70.txt,43.77,45.0,1.23,49.42,5.65,43.0,0.77,54.0,10.23
diva71.txt,43.71,26.44,17.27,87.54,43.83,28.4,15.31,54.4,10.69
diva72.txt,56.45,46.48,9.97,88.07,31.62,44.0,12.45,56.0,0.45
diva73.txt,53.85,46.4,7.45,81.3,27.45,37.0,16.85,57.5,3.65
diva74.txt,53.82,35.5,18.32,66.0,12.18,69.0,15.18,66.0,12.18
diva75.txt,40.0,32.0,8.00,76.67,36.67,28.6,11.40,44.0,4.00
diva76.txt,47.07,49.55,2.48,82.36,35.29,35.0,12.07,56.6,9.53
diva77.txt,49.48,57.5,8.02,84.58,35.10,55.0,5.52,57.0,7.52
diva78.txt,42.06,192.6821,150.62,86.42,44.36,35.88,6.18,45.0,2.94
diva79.txt,52.86,49.84,3.02,93.08,40.22,44.8,8.06,68.0,15.14
diva8.txt,41.69,34.9,6.79,82.84848485,41.16,37.0,4.69,49.0,7.31
diva80.txt,55.07,52.6,2.47,62.87,7.80,45.46,9.61,60.0,4.93
diva81.txt,63.55,56.45,7.10,81.01,17.46,46.0,17.55,66.0,2.45
diva82.txt,34.79,23.17,11.62,59.35,24.56,36.08,1.29,34.0,0.79
diva83.txt,43.83,47.0,3.17,82.36,38.53,34.12,9.71,51.0,7.17
diva84.txt,48.33,48.48,0.15,62.5,14.17,49.21,0.88,60.3,11.97
diva85.txt,47.33,243.51,196.18,85.72,38.39,46.84,0.49,53.0,5.67
diva86.txt,35.24,,,54.7,19.46,33.04,2.20,50.0,14.76
diva87.txt,64.15,38.0,26.15,70.72,6.57,42.89,21.26,65.6,1.45
diva88.txt,42.57,32.96,9.61,75.3,32.73,39.91,2.66,47.0,4.43
diva89.txt,58.61,45.0,13.61,73.0,14.39,38.0,20.61,65.08,6.47
diva9.txt,53.33,55.0,1.67,65.7,12.37,45.14,8.19,60.0,6.67
diva90.txt,47.33,40.19,7.14,58.56,11.23,49.03,1.70,55.0,7.67
diva91.txt,50.36,43.0,7.36,95.58,45.22,42.92,7.44,60.0,9.64
diva92.txt,49.37,33.57,15.80,70.36,20.99,46.2,3.17,56.0,6.63
diva93.txt,45.37,41.2381,4.13,69.29,23.92,30.66,14.71,50.0,4.63
diva94.txt,48.38,33.0,15.38,70.2,21.82,37.79,10.59,55.0,6.62
diva95.txt,51.08,46.0,5.08,78.0,26.92,46.26,4.82,57.0,5.92
diva96.txt,45.99,43.0,2.99,85.31,39.32,40.0,5.99,47.0,1.01
diva97.txt,53.29,40.0,13.29,57.85,4.56,40.1,13.19,60.0,6.71
diva98.txt,57.85,56.22,1.63,56.67,1.18,47.8,10.05,60.0,2.15
diva99.txt,48.34,,,49.33,0.99,34.85,13.49,51.0,2.66
f10.txt,20.0,28.36,8.36,,,24.08,4.08,25.1,5.10
f100.txt,35.37,87.14,51.77,65.73,30.36,65.33,29.96,61.6,26.23
f101.txt,34.54,29.68,4.86,91.23,56.69,30.76,3.78,49.0,14.46
f102.txt,48.67,53.0,4.33,85.78,37.11,31.81,16.86,57.0,8.33
f103.txt,27.44,18.66,8.78,74.89,47.45,28.12,0.68,28.0,0.56
f104.txt,26.37,26.43,0.06,113.26,86.89,28.4,2.03,31.5,5.13
f105.txt,23.54,,,75.3,51.76,40.0,16.46,42.0,18.46
f106.txt,44.68,,,75.6,30.92,31.39,13.29,,
f107.txt,31.81,61.48,29.67,82.6,50.79,34.0,2.19,44.0,12.19
f108.txt,28.38,27.0,1.38,69.17,40.79,21.7,6.68,27.2,1.18
f109.txt,34.54,27.19,7.35,72.4,37.86,27.17,7.37,35.0,0.46
f11.txt,31.17,25.67,5.50,72.13,40.96,29.44,1.73,34.0,2.83
f110.txt,46.83,34.0,12.83,74.0,27.17,30.07,16.76,40.8,6.03
f111.txt,35.09,38.0,2.91,60.4,25.31,34.0,1.09,41.0,5.91
f112.txt,55.84,,,69.6,13.76,64.0,8.16,69.0,13.16
f113.txt,34.91,15.4,19.51,79.27,44.36,32.72,2.19,35.0,0.09
f114.txt,28.35,30.07,1.72,70.21,41.86,22.62,5.73,35.0,6.65
f115.txt,36.52,33.47,3.05,15.66,20.86,32.28,4.24,39.4,2.88
f116.txt,43.48,26.17,17.31,89.0,45.52,28.8,14.68,51.3,7.82
f117.txt,44.36,26.25,18.11,61.45,17.09,37.21,7.15,50.0,5.64
f118.txt,34.62,29.0,5.62,62.53,27.91,35.17,0.55,43.0,8.38
f119.txt,21.21,29.53,8.32,80.1,58.89,25.0,3.79,27.0,5.79
f12.txt,34.71,23.11,11.60,21.78,12.93,27.0,7.71,38.0,3.29
f120.txt,36.6,75.61,39.01,89.67,53.07,25.4,11.20,43.0,6.40
f121.txt,25.67,32.0,6.33,66.29,40.62,29.0,3.33,38.0,12.33
f122.txt,34.14,,,76.08,41.94,25.45,8.69,42.0,7.86
f123.txt,36.33,15.0,21.33,32.02,4.31,37.19,0.86,43.0,6.67
f124.txt,31.87,28.0,3.87,61.91,30.04,19.36,12.51,38.3,6.43
f125.txt,46.99,38.0,8.99,72.05,25.06,26.84,20.15,55.0,8.01
f126.txt,42.54,50.5,7.96,75.4,32.86,41.42,1.12,51.0,8.46
f127.txt,62.21,43.67,18.54,39.78,22.43,45.15,17.06,69.0,6.79
f128.txt,42.98,37.06,5.92,82.16,39.18,38.0,4.98,50.0,7.02
f129.txt,47.24,45.68,1.56,77.78,30.54,49.6,2.36,58.0,10.76
f13.txt,21.12,22.55,1.43,76.22,55.10,24.9,3.78,25.0,3.88
f130.txt,33.02,,,53.96,20.94,19.09,13.93,38.4,5.38
f131.txt,44.38,29.63,14.75,83.52,39.14,24.63,19.75,45.5,1.12
f132.txt,52.03,47.7,4.33,63.41,11.38,48.05,3.98,,
f133.txt,23.81,,,77.83,54.02,28.34,4.53,27.0,3.19
f134.txt,41.42,38.05,3.37,82.67,41.25,35.0,6.42,51.4,9.98
f135.txt,42.06,25.07,16.99,88.23,46.17,36.0,6.06,45.0,2.94
f136.txt,50.22,36.45,13.77,68.51,18.29,31.79,18.43,50.2,0.02
f137.txt,32.08,159.0,126.92,72.62,40.54,,,44.0,11.92
f138.txt,39.13,,,56.44,17.31,83.87,44.74,44.0,4.87
f139.txt,36.18,27.59,8.59,70.11,33.93,28.57,7.61,36.8,0.62
f140.txt,34.29,199.91,165.62,84.15,49.86,74.92,40.63,32.0,2.29
f142.txt,28.52,17.57,10.95,75.18,46.66,21.0,7.52,21.0,7.52
f143.txt,44.23,40.44,3.79,104.9,60.67,31.33,12.90,50.6,6.37
f144.txt,41.41,33.84,7.57,103.77,62.36,32.8,8.61,49.0,7.59
f145.txt,34.72,42.22,7.50,74.56,39.84,40.05,5.33,43.3,8.58
f146.txt,33.93,,,80.64,46.71,23.0,10.93,54.0,20.07
f147.txt,30.98,133.714,102.73,55.0,24.02,26.8,4.18,31.0,0.02
f148.txt,39.16,26.92,12.24,87.75,48.59,24.0,15.16,41.0,1.84
f149.txt,32.95,26.9,6.05,74.97,42.02,28.0,4.95,34.5,1.55
f150.txt,35.9,34.8,1.10,45.18,9.28,27.0,8.90,40.0,4.10
f151.txt,33.33,32.0,1.33,58.28,24.95,31.86,1.47,38.0,4.67
f152.txt,37.87,48.3,10.43,70.01,32.14,39.0,1.13,49.5,11.63
f153.txt,37.87,33.0,4.87,74.83,36.96,34.0,3.87,47.0,9.13
f154.txt,43.52,35.67,7.85,73.96,30.44,32.0,11.52,45.0,1.48
f155.txt,30.71,26.0,4.71,74.94,44.23,20.25,10.46,36.0,5.29
f156.txt,33.67,16.23,17.44,16.89,16.78,27.64,6.03,39.0,5.33
f157.txt,43.98,48.0,4.02,53.44,9.46,36.0,7.98,48.0,4.02
f158.txt,44.99,2033.0,1988.01,71.83,26.84,36.5,8.49,48.0,3.01
f159.txt,30.98,27.0,3.98,45.0,14.02,25.93,5.05,34.0,3.02
f16.txt,33.48,32.6,0.88,,,35.0,1.52,41.0,7.52
f160.txt,21.12,25.07,3.95,57.45,36.33,23.83,2.71,23.9,2.78
f161.txt,39.0,30.07,8.93,45.04,6.04,38.67,0.33,46.0,7.00
f162.txt,44.56,38.27,6.29,76.75,32.19,32.21,12.35,383.0,338.44
f163.txt,27.4,,,84.68,57.28,28.24,0.84,34.5,7.10
f164.txt,16.87,,,73.75,56.88,26.5,9.63,17.1,0.23
f166.txt,32.51,,,92.11,59.60,26.48,6.03,34.2,1.69
f167.txt,23.41,19.031358,4.38,53.83,30.42,18.0,5.41,24.0,0.59
f168.txt,40.6,43.62,3.02,63.0,22.40,34.43,6.17,48.0,7.40
f169.txt,60.48,59.28,1.20,57.23,3.25,54.21,6.27,71.0,10.52
f17.txt,32.51,30.0,2.51,14.62,17.89,29.0,3.51,34.0,1.49
f170.txt,29.67,33.42,3.75,66.85,37.18,26.33,3.34,36.0,6.33
f171.txt,22.57,20.11,2.46,39.98,17.41,18.83,3.74,24.0,1.43
f172.txt,47.82,55.58,7.76,66.38,18.56,43.31,4.51,61.7,13.88
f173.txt,40.29,25.39,14.90,66.38,26.09,30.04,10.25,39.0,1.29
f174.txt,29.06,15.75,13.31,20.34,8.72,30.31,1.25,34.0,4.94
f175.txt,23.33,33.68,10.35,74.5,51.17,21.2,2.13,24.0,0.67
f176.txt,16.81,,,57.94,41.13,14.27,2.54,19.0,2.19
f177.txt,31.61,,,71.064,39.45,24.58,7.03,29.4,2.21
f178.txt,35.15,,,61.09,25.94,32.93,2.22,40.6,5.45
f179.txt,49.14,8.125,41.02,66.78,17.64,22.15,26.99,49.0,0.14
f18.txt,30.97,108.29,77.32,82.83,51.86,23.83,7.14,34.2,3.23
f180.txt,40.27,,,13.25,27.02,31.25,9.02,43.0,2.73
f181.txt,25.77,,,73.0,47.23,29.7,3.93,41.3,15.53
f182.txt,29.33,,,76.43,47.10,25.24,4.09,37.0,7.67
f183.txt,30.74,51.25,20.51,85.38,54.64,30.96,0.22,36.0,5.26
f184.txt,23.91,25.87,1.96,68.33,44.42,31.82,7.91,26.0,2.09
f185.txt,44.23,173.22,128.99,53.91,9.68,36.0,8.23,52.0,7.77
f186.txt,23.91,27.11,3.20,74.85,50.94,21.06,2.85,25.9,1.99
f187.txt,41.67,85.0,43.33,61.62,19.95,39.0,2.67,55.6,13.93
f188.txt,41.33,21.55,19.78,78.31,36.98,28.3,13.03,44.0,2.67
f189.txt,29.57,29.44,0.13,71.383,41.81,22.08,7.49,34.0,4.43
f19.txt,30.59,26.0,4.59,67.07,36.48,28.33,2.26,32.0,1.41
f190.txt,31.87,42.47,10.60,56.39,24.52,24.33,7.54,51.9,20.03
f191.txt,24.84,37.0,12.16,62.8,37.96,24.84,0.00,30.0,5.16
f192.txt,50.18,54.9,4.72,57.09,6.91,51.1,0.92,60.0,9.82
f193.txt,35.0,35.0,0.00,240.39,205.39,40.0,5.00,45.0,10.00
f194.txt,35.45,49.0,13.55,65.07,29.62,30.0,5.45,41.0,5.55
f195.txt,35.91,29.49,6.42,58.03,22.12,29.7,6.21,40.0,4.09
f196.txt,32.82,32.12,0.70,79.32,46.50,26.64,6.18,42.0,9.18
f197.txt,41.08,40.53,0.55,48.62,7.54,45.0,3.92,31.6,9.48
f198.txt,32.02,36.35,4.33,54.45,22.43,31.14,0.88,35.0,2.98
f199.txt,30.89,27.44,3.45,41.31,10.42,29.82,1.07,39.2,8.31
f20.txt,27.04,26.86,0.18,46.47,19.43,28.28,1.24,31.0,3.96
f200.txt,34.3,13.7,20.60,77.71,43.41,31.79,2.51,34.0,0.30
f201.txt,34.07,167.29,133.22,71.0,36.93,35.08,1.01,41.3,7.23
f202.txt,42.17,33.62,8.55,54.78,12.61,35.0,7.17,49.4,7.23
f203.txt,40.0,,,69.96,29.96,31.79,8.21,44.0,4.00
f204.txt,37.06,38.0,0.94,76.67,39.61,30.79,6.27,42.0,4.94
f206.txt,52.72,38.0,14.72,55.84,3.12,44.0,8.72,60.0,7.28
f207.txt,35.0,25.83,9.17,65.83,30.83,23.33,11.67,38.0,3.00
f208.txt,39.12,33.36,5.76,58.57,19.45,28.31,10.81,43.0,3.88
f209.txt,38.23,34.1,4.13,82.08,43.85,25.0,13.23,54.0,15.77
f21.txt,31.67,53.33,21.66,70.24,38.57,30.0,1.67,37.0,5.33
f210.txt,28.42,32.32,3.90,34.29,5.87,,,34.0,5.58
f22.txt,26.21,9.29,16.92,56.26,30.05,,,29.0,2.79
f23.txt,46.11,33.54,12.57,34.29,11.82,30.39,15.72,50.4,4.29
f24.txt,39.32,28.0,11.32,62.8,23.48,35.0,4.32,45.8,6.48
f25.txt,34.83,50.36,15.53,65.79,30.96,45.07,10.24,38.7,3.87
f27.txt,33.23,157.41,124.18,68.16,34.93,30.0,3.23,36.35,3.12
f28.txt,7.0,35.0,28.00,61.67,54.67,14.0,7.00,14.0,7.00
f29.txt,30.14,39.0,8.86,91.12,60.98,30.14,0.00,33.0,2.86
f3.txt,32.82,27.58,5.24,76.46,43.64,22.5,10.32,40.0,7.18
f30.txt,51.26,70.0,18.74,38.09,13.17,42.0,9.26,55.0,3.74
f31.txt,43.86,44.05,0.19,77.72,33.86,42.42,1.44,50.4,6.54
f32.txt,39.2,25.9,13.30,97.87,58.67,32.08,7.12,45.0,5.80
f33.txt,31.17,162.0,130.83,64.41,33.24,33.0,1.83,,
f34.txt,35.83,,,35.05,0.78,23.0,12.83,29.4,6.43
f35.txt,34.54,28.0,6.54,59.42,24.88,32.34,2.20,49.0,14.46
f36.txt,33.47,45.61,12.14,90.18,56.71,24.7,8.77,48.0,14.53
f37.txt,37.59,,,77.17,39.58,23.71,13.88,41.0,3.41
f38.txt,40.49,25.4,15.09,77.0,36.51,30.5,9.99,45.0,4.51
f39.txt,39.72,33.1,6.62,116.14,76.42,32.14,7.58,43.0,3.28
f4.txt,40.18,,,61.47,21.29,33.58,6.60,45.0,4.82
f40.txt,35.37,,,11.27,24.10,87.44,52.07,45.0,9.63
f41.txt,34.54,32.0,2.54,78.52,43.98,34.0,0.54,46.6,12.06
f42.txt,48.67,31.67,17.00,61.04,12.37,41.42,7.25,55.0,6.33
f43.txt,27.44,27.11,0.33,43.86,16.42,27.37,0.07,28.0,0.56
f44.txt,26.37,24.75,1.62,62.18,35.81,19.0,7.37,31.4,5.03
f45.txt,23.54,67.15683,43.62,71.29,47.75,30.859,7.32,42.0,18.46
f46.txt,44.68,23.14,21.54,84.66,39.98,29.82,14.86,50.0,5.32
f47.txt,31.81,43.0,11.19,162.0,130.19,39.0,7.19,58.0,26.19
f48.txt,28.38,24.2,4.18,58.67,30.29,20.0,8.38,30.0,1.62
f49.txt,34.54,,,89.33,54.79,27.0,7.54,43.0,8.46
f50.txt,46.83,37.21,9.62,53.42,6.59,25.71,21.12,52.0,5.17
f51.txt,35.09,46.0,10.91,73.85,38.76,26.0,9.09,39.0,3.91
f52.txt,55.84,56.42,0.58,114.32,58.48,63.33,7.49,75.0,19.16
f53.txt,34.91,30.98,3.93,64.5,29.59,29.9,5.01,36.0,1.09
f54.txt,28.35,,,49.1,20.75,25.6,2.75,32.0,3.65
f55.txt,36.52,32.28,4.24,83.07,46.55,27.0,9.52,39.0,2.48
f56.txt,43.48,29.09,14.39,68.3,24.82,26.42,17.06,52.6,9.12
f57.txt,44.36,88.0,43.64,64.5,20.14,34.0,10.36,48.0,3.64
f58.txt,34.62,30.8,3.82,67.44,32.82,22.41,12.21,42.5,7.88
f59.txt,21.21,26.19,4.98,51.14,29.93,32.0,10.79,31.0,9.79
f6.txt,32.08,33.67,1.59,81.71,49.63,32.0,0.08,41.0,8.92
f60.txt,36.6,23.97,12.63,58.5,21.90,31.1,5.50,43.8,7.20
f61.txt,32.34,43.8,11.46,51.25,18.91,27.19,5.15,34.3,1.96
f62.txt,36.22,27.14,9.08,71.17,34.95,38.51,2.29,39.0,2.78
f63.txt,34.98,31.44,3.54,52.08,17.10,35.0,0.02,40.0,5.02
f64.txt,34.0,20.0,14.00,61.11,27.11,36.35,2.35,39.0,5.00
f65.txt,34.0,34.65,0.65,55.06,21.06,36.08,2.08,39.0,5.00
f66.txt,43.47,41.69,1.78,10.08,33.39,36.53,6.94,52.4,8.93
f67.txt,39.25,27.5,11.75,27.17,12.08,41.0,1.75,41.8,2.55
f68.txt,39.86,,,69.0,29.14,27.0,12.86,41.0,1.14
f69.txt,37.21,36.53,0.68,503.33,466.12,28.0,9.21,42.0,4.79
f7.txt,56.33,,,55.43,0.90,55.0,1.33,68.0,11.67
f70.txt,25.66,,,74.51,48.85,33.0,7.34,35.0,9.34
f71.txt,35.9,31.75,4.15,76.42,40.52,26.42,9.48,40.0,4.10
f72.txt,30.09,34.0,3.91,72.67,42.58,16.0,14.09,31.7,1.61
f73.txt,32.23,,,56.9,24.67,30.8,1.43,39.0,6.77
f74.txt,34.14,,,17.06,17.08,26.37,7.77,39.0,4.86
f75.txt,38.83,44.0,5.17,48.66,9.83,41.78,2.95,47.5,8.67
f76.txt,40.63,,,55.0,14.37,32.12,8.51,46.2,5.57
f77.txt,36.24,33.0,3.24,72.58,36.34,26.9,9.34,52.0,15.76
f78.txt,29.82,30.18,0.36,65.0,35.18,30.0,0.18,35.0,5.18
f79.txt,39.15,40.87,1.72,102.08,62.93,128.09,88.94,46.0,6.85
f8.txt,28.62,34.72,6.10,72.25,43.63,32.0,3.38,33.3,4.68
f81.txt,38.93,42.0,3.07,84.64,45.71,29.38,9.55,46.0,7.07
f82.txt,40.08,34.65,5.43,54.97,14.89,37.0,3.08,44.0,3.92
f83.txt,40.87,48.0,7.13,67.91,27.04,28.31,12.56,39.0,1.87
f84.txt,23.76,25.0,1.24,38.46,14.70,25.0,1.24,26.5,2.74
f85.txt,22.25,41.0,18.75,37.04,14.79,22.14,0.11,23.5,1.25
f86.txt,35.0,35.42,0.42,54.17,19.17,33.0,2.00,42.0,7.00
f87.txt,36.63,27.0,9.63,14.14,22.49,23.14,13.49,38.0,1.37
f88.txt,37.39,33.52,3.87,73.66,36.27,43.33,5.94,41.3,3.91
